grade,preschool,expectBachelors,motherHS,motherBachelors,motherWork,fatherHS,fatherBachelors,fatherWork,selfBornUS,motherBornUS,fatherBornUS,englishAtHome,computerForSchoolwork,read30MinsADay,minutesPerWeekEnglish,studentsInEnglish,schoolHasLibrary,publicSchool,urban,schoolSize,readingScore,gender,0,1,2,3,4,5,6
10,1,1,1,0,1,1,0,1,1,1,1,1,1,1,260,17,1,1,0,636,656.95,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,1,0,0,1,0,1,1,0,0,1,1,1,275,26,1,1,1,2144,562.42,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,15,1,0,1,915,656.0,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,0,3004,340.6,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,1,1,0,0,1,1,0,0,0,1,1,354,40,1,1,1,3592,462.0,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,25,1,1,0,2878,683.64,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,0,1,0,1,1,0,1,1,1,1,1,1,0,300,20,1,1,1,1988,490.13,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,0,1,1,1,1,1,1,1,1,0,450,10,1,1,0,1173,548.88,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,1,1,0,1,1,0,1,1,1,1,1,0,270,24,1,1,0,389,680.83,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,1,1,1,1,1,1,1,0,0,1,1,0,255,24,1,0,1,570,422.05,F,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,1,1,1,1,1,1,1,0,1,1,0,1,1,0,250,14,1,0,1,915,644.24,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,84,23,1,1,1,3201,388.62,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,25,1,1,0,898,609.08,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,1,1,1,1,1,1,1,1,1,1,0,300,20,1,1,0,2183,720.03,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,1,0,1,1,1,1,0,1,225,30,1,1,0,1233,440.65,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,1,0,1,1,0,1,1,1,1,1,1,0,264,30,1,1,0,2402,520.31,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,31,1,1,0,2340,626.64,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,1,1,1,1,1,1,1,0,258,25,1,1,0,1812,528.5,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,0,1,1,0,375,20,1,1,0,1295,520.01,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,0,1,1,0,1,1,1,1,1,1,1,275,30,1,1,1,2144,522.7,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,30,1,1,0,898,620.41,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,0,0,1,1,1,1,1,1,0,250,30,1,1,1,539,530.56,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,0,1,1,0,1,1,1,1,1,1,250,20,1,1,0,1375,677.14,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,1,0,1,0,1,1,1,1,1,1,0,420,30,1,1,0,899,498.93,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,285,30,1,1,1,2966,560.34,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,0,1,1,1,140,15,1,1,1,1900,583.71,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1,0,1,1,1,0,0,0,1,1,1,1,1,1,300,9,1,1,0,421,438.17,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,1,1,1,0,1,1,1,1,235,22,1,0,1,356,536.84,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,0,0,1,0,0,1,1,0,0,0,0,0,180,20,1,0,1,570,485.92,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,25,1,1,1,2999,677.53,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,0,1,1,0,300,22,1,1,0,899,453.72,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,275,21,1,1,0,1526,640.03,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,28,1,1,0,2569,413.7,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,1,0,0,1,0,0,1,1,1,1,1,1,0,270,21,1,1,0,196,609.88,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,1,0,1,1,1,1,1,1,1,1,1,270,35,1,1,1,1734,537.89,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,0,1,1,1,1,1,1,1,1,0,300,23,1,1,0,434,577.27,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,28,1,1,0,2878,465.02,F,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1,1,0,0,0,1,0,1,1,0,1,0,1,0,255,25,1,1,1,1763,438.16,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,1,0,0,0,1,0,0,1,1,1,1,0,1,360,40,1,1,1,3201,556.94,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1,1,1,0,0,1,0,1,1,1,1,1,0,0,250,28,1,1,0,505,586.88,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,0,0,1,1,1,1,0,1,0,375,30,1,1,0,1101,517.93,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1,1,1,0,1,1,0,1,1,1,1,1,1,0,350,25,1,1,0,1295,450.49,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,1,375,20,1,1,0,2183,653.81,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,0,1,0,1,1,1,1,1,1,0,275,18,1,1,0,362,544.07,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,24,1,0,1,1212,519.37,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,1,325,30,1,1,0,712,702.23,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,0,1,0,0,1,1,1,1,1,0,225,25,1,1,0,1610,490.27,M,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,18,0,0,1,366,661.56,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,20,0,1,1,502,586.01,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,0,1,0,1,1,0,1,1,1,1,1,1,1,300,30,1,1,0,1913,528.5,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1,1,1,0,1,1,0,1,1,1,1,1,0,0,450,30,1,1,0,1173,431.98,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,0,0,0,1,0,1,1,1,1,1,1,1,435,30,1,1,0,1317,567.9,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,255,2,1,1,0,996,516.41,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,0,1,0,1,1,0,1,1,1,1,1,1,0,50,32,1,1,1,1392,430.95,M,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,1,45,34,1,1,0,1064,586.17,F,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1,1,0,0,1,1,0,1,0,0,1,1,1,0,300,25,1,1,0,929,602.61,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,0,0,1,0,0,1,0,0,0,0,1,270,45,1,1,1,3201,407.86,M,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,1,1,1,1,1,1,1,1,1,1,0,1,1,0,250,18,1,1,0,1064,563.05,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,0,0,0,1,1,0,1,0,1,1,300,25,1,1,0,1900,454.7,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,0,1,0,1,1,1,1,1,1,1,1,1,0,35,3,1,1,0,2098,378.19,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,0,1,1,0,1,1,1,225,22,1,1,0,850,448.67,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,0,1,1,1,0,40,20,1,1,0,1680,394.24,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0,1,1,0,0,1,0,0,1,1,1,1,1,0,250,20,1,1,1,2004,575.65,M,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1,1,1,0,1,1,0,1,1,1,1,1,0,1,400,30,1,1,0,979,597.13,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,1,0,0,1064,515.2,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,0,1,1,0,1,0,0,0,0,1,0,250,40,1,1,1,3138,428.3,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,0,0,0,1,0,270,38,1,1,1,2085,527.55,M,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,1,0,1,0,1,1,0,1,1,1,1,1,1,0,270,15,1,1,0,389,473.44,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,1,225,19,1,1,0,358,489.09,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,215,15,1,1,0,774,556.89,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,0,1,0,1,1,1,1,1,0,1,275,33,1,1,1,2162,539.74,M,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,0,1,1,0,1,1,0,1,1,0,0,0,1,0,180,20,1,1,0,996,480.51,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0,1,0,0,0,0,0,1,1,0,0,0,1,0,54,30,1,1,1,3592,450.67,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,0,0,0,1,0,0,1,0,0,0,0,0,1,250,35,1,1,1,1095,408.74,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,0,270,17,1,1,0,389,499.41,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,0,1,1,1,1,1,0,1,1,0,160,15,1,1,1,1900,672.01,M,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0,1,1,0,1,1,1,1,1,1,1,1,1,0,250,15,1,1,0,421,529.07,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,0,1,1,0,0,1,1,1,1,0,1,200,20,1,1,0,754,556.38,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,1,1,1,1,1,1,1,1,1,0,0,275,25,1,1,0,1382,587.68,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,0,0,0,0,0,1,1,0,0,0,1,1,225,23,1,1,1,1408,559.87,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,1,1,1,1,1,0,1,1,1,1,1,0,0,450,20,1,1,0,1173,346.53,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,0,0,1,0,0,1,1,1,1,1,1,300,26,1,1,0,1064,557.65,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,1897,675.86,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,0,1,0,1,1,1,1,1,1,0,275,38,1,1,1,2085,647.18,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,612,615.17,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,1,0,1,1,1,0,0,1,1,1,1,270,25,1,1,0,1680,652.74,F,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1,0,1,0,0,1,1,1,1,1,1,1,1,0,210,25,1,1,0,996,498.07,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,0,1,1,1,1,1,1,1,1,0,250,25,1,1,0,1233,483.94,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,1,225,16,1,1,0,358,560.83,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0,1,0,0,1,0,0,1,0,0,0,0,1,1,150,30,1,1,0,926,535.01,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,1,0,1,1,1,1,1,1,1,1,1,1,1,0,250,20,1,1,0,1526,512.08,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,1,1,1,0,1,1,1,1,1,1,1,1,0,264,32,1,1,0,2402,371.47,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,0,1,1,0,1,1,1,1,1,1,0,250,30,1,1,1,3592,466.78,M,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,25,1,1,0,979,514.48,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,225,20,1,1,0,3004,403.7,F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,1,1,1,0,1,1,0,0,1,1,1,1,0,0,275,30,1,1,0,1411,482.42,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,0,1,1,1,1,1,1,1,1,1,1,0,0,240,15,1,1,0,509,422.84,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,300,22,1,1,0,899,337.23,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,500,26,1,1,0,2183,727.97,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,1,1,0,1,1,0,1,1,1,1,1,1,0,540,20,1,1,0,2361,357.28,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1,0,1,0,1,1,0,1,1,1,1,1,1,1,275,20,1,1,0,868,520.79,F,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0,1,0,0,0,1,0,1,1,0,0,0,1,1,270,30,1,0,1,570,561.62,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0,0,1,0,1,0,0,0,1,1,1,1,0,0,225,10,1,1,1,2004,377.72,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,29,0,1,1,1392,424.43,F,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,275,18,1,1,0,1913,473.6,M,0.0,0.0,0.0,0.0,0.0,0.0,1.0
